date,forecast_demand,lower_ci,upper_ci,trend
2025-01-01,3465.1013822437176,2593.953019248623,4379.984029216943,3266.331743794214
2025-01-02,3346.435407605259,2467.7678901355293,4253.149832851081,3266.3173908596655
2025-01-03,3387.5187122979673,2489.03425478115,4370.494709578848,3266.303037925117
2025-01-04,3305.210663318643,2417.4160394056953,4265.809969457993,3266.2886849905685
2025-01-05,3360.7156771039026,2458.1430128164366,4300.2035750989435,3266.27433205602
2025-01-06,3246.3631351283652,2327.454945743491,4200.4229848948,3266.2599791214707
2025-01-07,3300.673667268255,2316.2541188149776,4258.064045773846,3266.245626186922
2025-01-08,3406.78178706171,2407.80952847956,4307.454501732572,3266.2312732523737
2025-01-09,3278.1332274268616,2323.7636114669576,4249.989700872599,3266.216920317825
2025-01-10,3311.1067129302396,2301.8361956988633,4218.6995487449785,3266.2025673832763
2025-01-11,3222.779056075505,2397.229868227919,4175.6696270159555,3266.1882144487276
2025-01-12,3274.5195560558454,2336.478226840223,4132.366668475644,3266.173861514179
2025-01-13,3158.7653281335997,2218.4973161744765,4150.335097068674,3266.15950857963
2025-01-14,3214.0844816125636,2377.136388029499,4186.3042042963425,3266.145155645082
2025-01-15,3323.597220914539,2418.7863082367826,4227.311570385033,3266.130802710533
2025-01-16,3200.673266429432,2247.527257596069,4119.163084801511,3266.116449775984
2025-01-17,3241.5553355744355,2309.627481879545,4163.538681412025,3266.1020968414355
2025-01-18,3163.127531952754,2249.177156696867,4077.0723480864217,3266.0877439068868
2025-01-19,3226.514538476362,2270.208586109651,4153.983987879725,3266.0733909723385
2025-01-20,3123.8631192630232,2116.240743024437,3972.3835669283285,3266.05903803779
2025-01-21,3193.4126874087624,2340.0945809111026,4041.7702291118667,3266.044685103241
2025-01-22,3317.9248191684474,2350.380477897113,4263.898980896575,3266.030332168692
2025-01-23,3210.389889333872,2294.9299803949966,4136.735826591421,3266.0159792341433
2025-01-24,3266.6603245111937,2308.256308168344,4192.933293217498,3266.001626299595
2025-01-25,3203.229063262415,2229.3202908231447,4069.7287655089663,3265.9872733650463
2025-01-26,3280.8388518567313,2334.778912958802,4240.298137441801,3265.9729204304977
2025-01-27,3191.2736124399717,2323.078980064306,4057.6100283196333,3265.958567495949
2025-01-28,3272.4383791217297,2326.4334382152565,4231.114732762517,3265.9442145614003
2025-01-29,3406.7974344008476,2419.397945388933,4349.554150370581,3265.929861626852
2025-01-30,3307.0885928394737,2424.7770603577455,4214.182887602715,3265.9155086923033
