week_start,cash_flow_usd,revenue_usd,procurement_cost_usd,logistics_cost_usd,operational_cost_usd,sla_penalty_usd,transactions,avg_dso,avg_dpo,avg_cash_conversion_cycle,rolling_mean_13w,rolling_std_13w,ci95_lower_mean,ci95_upper_mean,pi95_lower,pi95_upper,forecast_mean,forecast_std,forecast_lower,forecast_upper,trailing_stress_threshold,stress_eligible,stress,stress_reason,iso_week,month
2020-12-28,-42234673.45,3375753.68,704522.23,89429.95,49782.020000000004,141044.64,143,57.812727272727265,67.50755244755244,34.851748251748255,,,,,,,,,,,,False,False,insufficient-history,53,12
2021-01-04,-100433944.92,5783960.85,2379382.24,92470.25,118697.68000000001,260684.75,333,58.01855855855856,68.44624624624625,35.95012012012012,,,,,,,,,,,,False,False,insufficient-history,1,1
2021-01-11,-70833599.77,6504290.95,1158727.25,83511.54,143124.28,334612.69,288,57.79302083333333,68.19013888888888,34.892743055555556,,,,,,,,,,,,False,False,insufficient-history,2,1
2021-01-18,-94657484.04,7122501.5,3678435.9,137828.5,118452.15000000001,131639.92,328,59.409207317073175,68.51033536585366,35.47887195121951,,,,,,,,,,,,False,False,insufficient-history,3,1
2021-01-25,-73740239.29,7151075.52,2477488.91,109990.97,170834.21,215392.26,295,59.08691525423728,67.42240677966102,36.182,,,,,,,,,,,,False,False,insufficient-history,4,1
2021-02-01,-85963865.23,10009150.94,2887265.21,106070.38,198366.87,286815.9,332,57.15006024096385,68.29825301204819,34.06210843373494,,,,,,,,,,,,False,False,insufficient-history,5,2
2021-02-08,-84605645.59,3851599.28,2113841.75,251401.33000000002,160943.11,392704.77999999997,322,58.541428571428575,67.9048447204969,35.3844099378882,,,,,,,,,,,,False,False,insufficient-history,6,2
2021-02-15,-91695780.64999999,5513008.18,2529656.75,147268.5,168678.33,257242.47,320,57.846218750000006,67.95265624999999,34.842406249999996,,,,,,,,,,,,False,False,insufficient-history,7,2
2021-02-22,-89230608.16,6528310.07,2405855.81,185731.21,122260.35,288391.52,332,58.43725903614458,67.08746987951808,35.750090361445785,,,,,,,,,,,,False,False,insufficient-history,8,2
2021-03-01,-91605723.95,5812925.92,2591033.9299999997,95821.0,97926.54,106022.67,304,57.98542763157894,67.49592105263157,35.86095394736842,,,,,,,,,,,,False,False,insufficient-history,9,3
2021-03-08,-56720510.28,5302832.34,2283188.82,177144.03,116559.5,161212.19,329,58.00127659574468,67.02209726443769,35.75626139817629,,,,,,,,,,,,False,False,insufficient-history,10,3
2021-03-15,-88708433.34,5456498.73,2872884.15,157434.79,142722.73,288723.85,326,56.74184049079755,68.4777300613497,33.43699386503067,,,,,,,,,,,,False,False,insufficient-history,11,3
2021-03-22,-76822129.69,10091816.67,1596414.56,169745.19,177759.32,317644.78,347,57.8564553314121,68.67766570605188,34.38945244956772,-80557895.25846153,16378612.401404921,-90455391.67603032,-70660398.84089275,-117590935.8398264,-43524854.677096665,,,,,,False,False,insufficient-history,12,3
2021-03-29,-96173900.6,5773925.9799999995,3663065.75,219202.53,287135.27,381797.0,332,58.67722891566265,67.21192771084337,36.022831325301205,-84707066.5776923,12146654.303139135,-92047216.3110393,-77366916.8443453,-112171392.04749686,-57242741.10788775,-80557895.25846153,16378612.401404921,-117590935.8398264,-43524854.677096665,,False,False,insufficient-history,13,3
2021-04-05,-82917118.53,3568099.2600000002,2055389.76,187295.4,217047.09,256518.89,302,56.9973178807947,68.74854304635763,32.84897350993377,-83359618.39384614,11190623.771835953,-90122044.65912645,-76597192.12856583,-108662300.58184633,-58056936.20584595,-84707066.5776923,12146654.303139135,-112171392.04749686,-57242741.10788775,,False,False,insufficient-history,14,4
